Date, Close, Volume, Open, High, Low
06/28/2019, 293, 59350930, 292.58, 293.55, 292.01
06/27/2019, 291.5, 40355240, 291.31, 292.06, 290.89
06/26/2019, 290.47, 51584900, 291.75, 292.31, 290.345
06/25/2019, 290.76, 82028660, 293.7, 293.73, 290.64
06/24/2019, 293.64, 47582730, 294.23, 294.58, 293.47
06/21/2019, 294, 83309470, 294.13, 295.52, 293.76
06/20/2019, 295.86, 116570000, 296.04, 296.3093, 293.1255
06/19/2019, 293.06, 78674380, 292.55, 293.65, 291.47
06/18/2019, 292.4, 85434820, 291.39, 293.57, 290.99
06/17/2019, 289.37, 39205710, 289.52, 290.22, 289.18
06/14/2019, 289.26, 52324720, 289.26, 289.93, 288.41
06/13/2019, 289.58, 48945160, 289.4, 289.98, 288.62
